name,team,position,sport
Shohei Ohtani,LAD,DH,MLB
Tarik Skubal,DET,SP,MLB
Garrett Crochet,BOS,SP,MLB
Paul Skenes,PIT,SP,MLB
Aaron Judge,NYY,OF,MLB
Juan Soto,NYM,OF,MLB
Logan Webb,SF,SP,MLB
Cristopher Sanchez,PHI,SP,MLB
Bryan Woo,SEA,SP,MLB
Bobby Witt Jr.,KC,SS,MLB
Hunter Brown,HOU,SP,MLB
Framber Valdez,DET,SP,MLB
Max Fried,NYY,SP,MLB
Jose Ramirez,CLE,3B,MLB
Dylan Cease,TOR,SP,MLB
Ronald Acuna Jr.,ATL,OF,MLB
Jesus Luzardo,PHI,SP,MLB
Hunter Greene,CIN,SP,MLB
Kyle Tucker,LAD,OF,MLB
Vladimir Guerrero Jr.,TOR,1B,MLB
Logan Gilbert,SEA,SP,MLB
Corbin Carroll,ARI,OF,MLB
Chris Sale,ATL,SP,MLB
Kevin Gausman,TOR,SP,MLB
Gunnar Henderson,BAL,SS,MLB
Kyle Schwarber,PHI,OF,MLB
Elly De La Cruz,CIN,SS,MLB
Sonny Gray,BOS,SP,MLB
George Kirby,SEA,SP,MLB
Fernando Tatis Jr.,SD,OF,MLB
Julio Rodriguez,SEA,OF,MLB
Joe Ryan,MIN,SP,MLB
Yoshinobu Yamamoto,LAD,SP,MLB
Jacob deGrom,TEX,SP,MLB
Nick Pivetta,SD,SP,MLB
Freddy Peralta,NYM,SP,MLB
Luis Castillo,SEA,SP,MLB
Cole Ragans,KC,SP,MLB
Tanner Bibee,CLE,SP,MLB
Zac Gallen,ARI,SP,MLB
Cal Raleigh,SEA,C,MLB
Brent Rooker,ATH,OF,MLB
Junior Caminero,TB,3B,MLB
Pete Alonso,BAL,1B,MLB
MacKenzie Gore,TEX,SP,MLB
Aaron Nola,PHI,SP,MLB
Jackson Chourio,MIL,OF,MLB
Bryce Harper,PHI,1B,MLB
Nathan Eovaldi,TEX,SP,MLB
Spencer Strider,ATL,SP,MLB
Ranger Suarez,BOS,SP,MLB
Matt Olson,ATL,1B,MLB
Robbie Ray,SF,SP,MLB
Rafael Devers,SF,1B,MLB
Ryan Pepiot,TB,SP,MLB
Francisco Lindor,NYM,SS,MLB
Freddie Freeman,LAD,1B,MLB
Nick Kurtz,ATH,1B,MLB
Ketel Marte,ARI,2B,MLB
Mookie Betts,LAD,SS,MLB
Gavin Williams,CLE,SP,MLB
Trea Turner,PHI,SS,MLB
Jack Flaherty,DET,SP,MLB
Merrill Kelly,ARI,SP,MLB
Pete Crow-Armstrong,CHC,OF,MLB
Sandy Alcantara,MIA,SP,MLB
Jose Soriano,LAA,SP,MLB
Zach Neto,LAA,SS,MLB
James Wood,WSH,OF,MLB
Michael King,SD,SP,MLB
Mitch Keller,PIT,SP,MLB
Yordan Alvarez,HOU,OF,MLB
Yusei Kikuchi,LAA,SP,MLB
Wyatt Langford,TEX,OF,MLB
Jazz Chisholm Jr.,NYY,2B,MLB
Zack Wheeler,PHI,SP,MLB
Geraldo Perdomo,ARI,SS,MLB
Maikel Garcia,KC,2B,MLB
Matthew Boyd,CHC,SP,MLB
Drew Rasmussen,TB,SP,MLB
Vinnie Pasquantino,KC,1B,MLB
Andrew Abbott,CIN,SP,MLB
Brady Singer,CIN,SP,MLB
Chris Bassitt,BAL,SP,MLB
Manny Machado,SD,3B,MLB
Riley Greene,DET,OF,MLB
Randy Arozarena,SEA,OF,MLB
Josh Naylor,SEA,1B,MLB
Willy Adames,SF,SS,MLB
Jarren Duran,BOS,OF,MLB
David Peterson,NYM,SP,MLB
Brandon Woodruff,MIL,SP,MLB
Blake Snell,LAD,SP,MLB
Brandon Pfaadt,ARI,SP,MLB
Austin Riley,ATL,3B,MLB
Brice Turang,MIL,2B,MLB
CJ Abrams,WSH,SS,MLB
Carlos Rodon,NYY,SP,MLB
Quinn Priester,MIL,SP,MLB
Seiya Suzuki,CHC,OF,MLB
George Springer,TOR,OF,MLB
Luis Severino,ATH,SP,MLB
Shota Imanaga,CHC,SP,MLB
Cody Bellinger,NYY,OF,MLB
Ian Happ,CHC,OF,MLB
Alex Bregman,CHC,3B,MLB
Taylor Ward,BAL,OF,MLB
Nick Lodolo,CIN,SP,MLB
Jeremy Pena,HOU,SS,MLB
Roman Anthony,BOS,OF,MLB
Michael Wacha,KC,SP,MLB
Nolan McLean,NYM,SP,MLB
Jackson Merrill,SD,OF,MLB
Steven Kwan,CLE,OF,MLB
Matt Chapman,SF,3B,MLB
Eugenio Suarez,CIN,3B,MLB
Yandy Diaz,TB,1B,MLB
Bo Bichette,NYM,SS,MLB
William Contreras,MIL,C,MLB
Gleyber Torres,DET,2B,MLB
Joe Musgrove,SD,SP,MLB
Jeffrey Springs,ATH,SP,MLB
Kyle Bradish,BAL,SP,MLB
Edwin Diaz,LAD,RP,MLB
Emmet Sheehan,LAD,SP,MLB
Tyler Glasnow,LAD,SP,MLB
Shane Smith,CWS,SP,MLB
Spencer Torkelson,DET,1B,MLB
Byron Buxton,MIN,OF,MLB
Jose Altuve,HOU,2B,MLB
Bailey Ober,MIN,SP,MLB
Ryne Nelson,ARI,SP,MLB
Cody Ponce,TOR,SP,MLB
Shane Baz,BAL,SP,MLB
Jacob Misiorowski,MIL,SP,MLB
Brandon Nimmo,TEX,OF,MLB
Jack Leiter,TEX,SP,MLB
Brayan Bello,BOS,SP,MLB
Christian Yelich,MIL,OF,MLB
Seth Lugo,KC,SP,MLB
Mason Miller,SD,RP,MLB
Corey Seager,TEX,SS,MLB
Nico Hoerner,CHC,2B,MLB
Dansby Swanson,CHC,SS,MLB
Ezequiel Tovar,COL,SS,MLB
Jurickson Profar,ATL,OF,MLB
Michael Busch,CHC,1B,MLB
Eury Perez,MIA,SP,MLB
Edward Cabrera,CHC,SP,MLB
Trey Yesavage,TOR,SP,MLB
Cade Smith,CLE,RP,MLB
Chase Burns,CIN,SP,MLB
Kris Bubic,KC,SP,MLB
Tyler Soderstrom,ATH,1B,MLB
Tatsuya Imai,HOU,SP,MLB
Bryan Reynolds,PIT,OF,MLB
Andy Pages,LAD,OF,MLB
Teoscar Hernandez,LAD,OF,MLB
Jakob Marsee,MIA,OF,MLB
Clay Holmes,NYM,SP,MLB
Trevor Story,BOS,SS,MLB
Michael Harris II,ATL,OF,MLB
Lawrence Butler,ATH,OF,MLB
Jo Adell,LAA,OF,MLB
Oneil Cruz,PIT,OF,MLB
Hunter Goodman,COL,C,MLB
Bryson Stott,PHI,2B,MLB
Reid Detmers,LAA,RP,MLB
Ozzie Albies,ATL,2B,MLB
Jameson Taillon,CHC,SP,MLB
Trevor Rogers,BAL,SP,MLB
Shea Langeliers,ATH,C,MLB
Bryce Miller,SEA,SP,MLB
Heliot Ramos,SF,OF,MLB
Masyn Winn,STL,SS,MLB
Noah Cameron,KC,SP,MLB
Alec Burleson,STL,1B,MLB
Shane McClanahan,TB,SP,MLB
Marcus Semien,NYM,2B,MLB
Jhoan Duran,PHI,RP,MLB
Casey Mize,DET,SP,MLB
Slade Cecconi,CLE,SP,MLB
Ceddanne Rafaela,BOS,2B,MLB
Ben Rice,NYY,C,MLB
Kyle Stowers,MIA,OF,MLB
Jacob Wilson,ATH,SS,MLB
Bubba Chandler,PIT,SP,MLB
Munetaka Murakami,CWS,1B,MLB
Luke Keaschall,MIN,2B,MLB
Luis Arraez,SF,1B,MLB
Adolis Garcia,PHI,OF,MLB
Willson Contreras,BOS,1B,MLB
Xavier Edwards,MIA,2B,MLB
Joey Cantillo,CLE,SP,MLB
Devin Williams,NYM,RP,MLB
Salvador Perez,KC,C,MLB
Dylan Crews,WSH,OF,MLB
Zach Eflin,BAL,SP,MLB
Miguel Vargas,CWS,1B,MLB
Ivan Herrera,STL,C,MLB
Luis Robert Jr.,NYM,OF,MLB
Reynaldo Lopez,ATL,SP,MLB
Xander Bogaerts,SD,SS,MLB
Brenton Doyle,COL,OF,MLB
David Bednar,NYY,RP,MLB
Andres Munoz,SEA,RP,MLB
Nolan Schanuel,LAA,1B,MLB
Matthew Liberatore,STL,SP,MLB
Dustin May,STL,SP,MLB
Daulton Varsho,TOR,OF,MLB
Christian Walker,HOU,1B,MLB
Aroldis Chapman,BOS,RP,MLB
Jonathan Aranda,TB,1B,MLB
Josh Hader,HOU,RP,MLB
Adley Rutschman,BAL,C,MLB
Kazuma Okamoto,TOR,1B,MLB
Sean Manaea,NYM,SP,MLB
Jung Hoo Lee,SF,OF,MLB
TJ Friedl,CIN,OF,MLB
Kyle Manzardo,CLE,1B,MLB
Alec Bohm,PHI,1B,MLB
Otto Lopez,MIA,2B,MLB
Chad Patrick,MIL,SP,MLB
Dean Kremer,BAL,SP,MLB
Kyle Freeland,COL,SP,MLB
Braxton Ashcraft,PIT,SP,MLB
Nick Martinez,TB,SP,MLB
Marcell Ozuna,PIT,DH,MLB
Daylen Lile,WSH,OF,MLB
Cam Schlittler,NYY,SP,MLB
Gerrit Cole,NYY,SP,MLB
Cristian Javier,HOU,SP,MLB
Brandon Lowe,PIT,2B,MLB
Michael McGreevy,STL,SP,MLB
Trent Grisham,NYY,OF,MLB
Will Smith,LAD,C,MLB
Mike Trout,LAA,OF,MLB
Mike Burrows,HOU,SP,MLB
Wilyer Abreu,BOS,OF,MLB
Davis Martin,CWS,SP,MLB
Justin Verlander,DET,SP,MLB
Taj Bradley,MIN,SP,MLB
Caleb Durbin,BOS,2B,MLB
Drake Baldwin,ATL,C,MLB
Jorge Polanco,NYM,2B,MLB
Adrian Houser,SF,SP,MLB
Cade Horton,CHC,SP,MLB
Jake Burger,TEX,1B,MLB
Matt McLain,CIN,2B,MLB
Jacob Lopez,ATH,SP,MLB
Sean Burke,CWS,SP,MLB
Jose Berrios,TOR,SP,MLB
Noelvi Marte,CIN,3B,MLB
Luis Garcia,WSH,2B,MLB
Eduardo Rodriguez,ARI,SP,MLB
Josh Bell,MIN,1B,MLB
J.P. Crawford,SEA,SS,MLB
Carlos Correa,HOU,3B,MLB
Ernie Clement,TOR,1B,MLB
Jordan Beck,COL,OF,MLB
Brendan Donovan,SEA,2B,MLB
Agustin Ramirez,MIA,C,MLB
Andres Gimenez,TOR,2B,MLB
Zebby Matthews,MIN,SP,MLB
Andrew Vaughn,MIL,1B,MLB
Colson Montgomery,CWS,3B,MLB
Jake Cronenworth,SD,1B,MLB
Daniel Palencia,CHC,RP,MLB
Foster Griffin,WSH,RP,MLB
Sal Frelick,MIL,OF,MLB
Cade Cavalli,WSH,SP,MLB
Ramon Laureano,SD,OF,MLB
Andre Pallante,STL,SP,MLB
Mickey Moniak,COL,OF,MLB
Nolan Arenado,ARI,3B,MLB
Ryan Weathers,NYY,SP,MLB
Braxton Garrett,MIA,SP,MLB
Will Warren,NYY,SP,MLB
Colton Cowser,BAL,OF,MLB
Tyler Mahle,SF,SP,MLB
Raisel Iglesias,ATL,RP,MLB
Kerry Carpenter,DET,OF,MLB
Willi Castro,COL,2B,MLB
Isaac Paredes,HOU,3B,MLB
Royce Lewis,MIN,3B,MLB
Lars Nootbaar,STL,OF,MLB
Simeon Woods Richardson,MIN,SP,MLB
Yainer Diaz,HOU,C,MLB
Carlos Estevez,KC,RP,MLB
Ryan Helsley,BAL,RP,MLB
Jeff McNeil,ATH,2B,MLB
Roki Sasaki,LAD,SP,MLB
Jordan Westburg,BAL,2B,MLB
Miles Mikolas,WSH,SP,MLB
Ryan O'Hearn,PIT,1B,MLB
Jackson Holliday,BAL,2B,MLB
Kodai Senga,NYM,SP,MLB
Max Meyer,MIA,SP,MLB
Steven Matz,TB,RP,MLB
Addison Barger,TOR,3B,MLB
Brad Lord,WSH,SP,MLB
Michael Lorenzen,COL,SP,MLB
Jonathan India,KC,2B,MLB
Sal Stewart,CIN,1B,MLB
Jeff Hoffman,TOR,RP,MLB
Landen Roupp,SF,SP,MLB
Parker Messick,CLE,SP,MLB
Joey Ortiz,MIL,SS,MLB
Emilio Pagan,CIN,RP,MLB
Josh Lowe,LAA,OF,MLB
Colt Keith,DET,1B,MLB
Jac Caglianone,KC,1B,MLB
Chandler Simpson,TB,OF,MLB
Pete Fairbanks,MIA,RP,MLB
Matt Wallner,MIN,OF,MLB
Shane Bieber,TOR,SP,MLB
Grant Holmes,ATL,SP,MLB
Chase Meidroth,CWS,2B,MLB
Ryan Walker,SF,RP,MLB
Brooks Lee,MIN,2B,MLB
Logan Henderson,MIL,SP,MLB
Alejandro Kirk,TOR,C,MLB
Max Muncy,LAD,3B,MLB
Ryan Jeffers,MIN,C,MLB
Victor Scott,STL,OF,MLB
Josh Jung,TEX,3B,MLB
Brandon Marsh,PHI,OF,MLB
Nolan Gorman,STL,2B,MLB
Dennis Santana,PIT,RP,MLB
Aaron Civale,ATH,SP,MLB
Josh Smith,TEX,1B,MLB
Spencer Horwitz,PIT,1B,MLB
Abner Uribe,MIL,RP,MLB
Andrew Benintendi,CWS,OF,MLB
Cedric Mullins II,TB,OF,MLB
Harrison Bader,SF,OF,MLB
Evan Carter,TEX,OF,MLB
Parker Meadows,DET,OF,MLB
Grant Taylor,CWS,RP,MLB
Jordan Walker,STL,OF,MLB
Jorge Soler,LAA,OF,MLB
Anthony Kay,CWS,SP,MLB
Anthony Volpe,NYY,SS,MLB
Kyle Leahy,STL,RP,MLB
Griffin Jax,TB,RP,MLB
Jose Quintana,COL,SP,MLB
Trevor Megill,MIL,RP,MLB
Jared Triolo,PIT,1B,MLB
Chris Paddack,MIA,SP,MLB
J.T. Realmuto,PHI,C,MLB
Wenceel Perez,DET,OF,MLB
Gabriel Moreno,ARI,C,MLB
Mark Vientos,NYM,3B,MLB
Logan Allen,CLE,SP,MLB
Chase DeLauter,CLE,OF,MLB
Johan Oviedo,BOS,SP,MLB
Bryce Elder,ATL,SP,MLB
Robert Garcia,TEX,RP,MLB
Kyle Teel,CWS,C,MLB
Austin Hays,CWS,OF,MLB
Luis Morales,ATH,SP,MLB
Kenley Jansen,DET,RP,MLB
Gavin Sheets,SD,1B,MLB
Tommy Edman,LAD,2B,MLB
Trevor Larnach,MIN,OF,MLB
Giancarlo Stanton,NYY,OF,MLB
Austin Wells,NYY,C,MLB
Mike Yastrzemski,ATL,OF,MLB
Ke'Bryan Hayes,CIN,3B,MLB
Randy Vasquez,SD,SP,MLB
Ian Seymour,TB,SP,MLB
Spencer Steer,CIN,1B,MLB
Brayan Rocchio,CLE,2B,MLB
Francisco Alvarez,NYM,C,MLB
Brett Baty,NYM,2B,MLB
Jesus Sanchez,TOR,OF,MLB
Jake Meyers,HOU,OF,MLB
Ryan McMahon,NYY,3B,MLB
Edwin Uceta,TB,RP,MLB
Michael Soroka,ARI,SP,MLB
Seranthony Dominguez,CWS,RP,MLB
Isaac Collins,KC,OF,MLB
Bo Naylor,CLE,C,MLB
Connor Norby,MIA,3B,MLB
Samuel Basallo,BAL,C,MLB
Luis Gil,NYY,SP,MLB
Lane Thomas,KC,OF,MLB
Dylan Beavers,BAL,OF,MLB
Jacob Latz,TEX,SP,MLB
Lance McCullers Jr.,HOU,SP,MLB
Brady House,WSH,3B,MLB
Zach McKinstry,DET,3B,MLB
Joc Pederson,TEX,DH,MLB
Gavin Lux,TB,2B,MLB
Griffin Canning,SD,SP,MLB
Kumar Rocker,TEX,SP,MLB
Logan O'Hoppe,LAA,C,MLB
Chase Dollander,COL,SP,MLB
German Marquez,SD,SP,MLB
Dominic Canzone,SEA,OF,MLB
Riley O'Brien,STL,RP,MLB
Jake Irvin,WSH,SP,MLB
Pavin Smith,ARI,1B,MLB
Josiah Gray,WSH,SP,MLB
Tyler Stephenson,CIN,C,MLB
Taijuan Walker,PHI,SP,MLB
Tomoyuki Sugano,COL,SP,MLB
Marcelo Mayer,BOS,2B,MLB
Bryan Abreu,HOU,RP,MLB
Victor Vodnik,COL,RP,MLB
Andrew Painter,PHI,SP,MLB
Alek Thomas,ARI,OF,MLB
Clayton Beeter,WSH,RP,MLB
Cam Smith,HOU,OF,MLB
Tyler O'Neill,BAL,OF,MLB
Richard Fitts,STL,SP,MLB
Justin Steele,CHC,SP,MLB
Kyle Isbel,KC,OF,MLB
Luis Rengifo,MIL,2B,MLB
Christian Moore,LAA,2B,MLB
Patrick Bailey,SF,C,MLB
Garrett Cleavinger,TB,RP,MLB
